,IP,ASN
12785,8.33.225.0,"CARRIZO-ASN - Carrizo Oil & Gas, Inc."
12814,8.34.94.0,"PLEXUSSYSTEMS-US1 - Plex Systems, Inc."
12841,8.34.171.0,"BON-TON-STORES - The Bon-Ton Department Stores, Inc."
12849,8.34.183.0,"YCST-AS - Young Conaway Stargatt & Taylor, LLP"
12851,8.34.191.0,ETM-BALA01 - Entercom Communications Corporation
12856,8.35.5.0,WFCU-WW-ASN - UNIFY Financial Credit Union
12929,8.36.92.0,VTEXT-CORP-COLO1 - VERITEXT CORP.
12931,8.36.94.0,"WTG-BGP01 - Wireless Telecom Group, Inc."
12947,8.36.131.0,AS396901
12954,8.36.229.0,"LVLT - Level 3 Parent, LLC"
12969,8.37.36.0,RW-127 - Republic Wireless
12970,8.37.37.0,BEVAIR-27105 - BEVERAGE AIR CORPORATION
12978,8.37.75.0,TELNES - Telnes Broadband
12982,8.37.92.0,SCAN - SCAN Health Plan
13002,8.37.164.0,MTASCUTNEYHOSPITALANDHEALTHCENTER - Mt. Ascutney Hospital and Health Center
13009,8.37.184.0,IBL-JC - Interactive Brokers LLC
13017,8.37.221.0,CALIBRE6354 - CALIBRE Systems Inc.
13041,8.38.35.0,STUDIO-PRODUCTIONS - CBS Corporation
13044,8.38.39.0,"DTC-PRD-AS - DELTELCO, INC."
13049,8.38.72.0,CLOUD-GRID - Cloud Grid Computing
13057,8.38.84.0,"TRULITE - Trulite Glass & Aluminum Solutions, LLC"
13068,8.38.115.0,CHILD-120-AS01 - ChildNet Inc.
13073,8.38.163.0,MEMBERS1STFCU - Members 1st Federal Credit Union
13075,8.38.173.0,GAI-CONSULTANTS - G-A-I Consultants Inc.
13077,8.38.176.0,UNIONTOWN-HOSPITAL - Fayette Regional Health System
13078,8.38.177.0,"PATEAM - Level 3 Parent, LLC"
13095,8.38.243.0,FNS-ASN - FISHNET SECURITY INC
13100,8.38.254.0,GOBEC-BARRY-ELECTRIC - Barry Electric Cooperative
13131,8.39.98.0,"PEI-GENESIS-1 - PEI-Genesis, Inc."
13134,8.39.102.0,SB1FCU-ASN-1 - Sb1 Federal Credit Union
